OBJECTID,RELI,E_KOORD,E_ZENTER,N_KOORD,N_ZENTER,B20BM14,B20BM15,B20BM16,B20BM17,B20BM18,B20BM19,M_TOT,B20BW14,B20BW15,B20BW16,B20BW17,B20BW18,B20BW19,W_TOT,TOT
1,68772463,2687700,2687750,1246300,1246350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,68032487,2680300,2680350,1248700,1248750,3,0,0,3,0,0,6,3,3,0,3,3,0,12,18
3,68302433,2683000,2683050,1243300,1243350,3,3,3,0,0,3,12,3,3,0,3,3,3,15,27
4,68302500,2683000,2683050,1250000,1250050,0,3,0,0,0,0,3,3,0,3,0,0,3,9,12
5,68312528,2683100,2683150,1252800,1252850,3,0,3,3,0,0,9,3,3,4,3,0,0,13,22
6,68312526,2683100,2683150,1252600,1252650,3,3,3,3,3,3,18,3,3,3,3,3,0,15,33
7,68312486,2683100,2683150,1248600,1248650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,68312507,2683100,2683150,1250700,1250750,3,0,0,0,0,0,3,3,0,0,0,0,3,6,9
9,68322505,2683200,2683250,1250500,1250550,3,4,0,3,3,0,13,3,3,3,0,0,3,12,25
10,68322533,2683200,2683250,1253300,1253350,3,0,3,0,0,0,6,0,0,0,0,0,0,0,6
11,68332496,2683300,2683350,1249600,1249650,3,4,3,0,3,0,13,4,3,3,0,0,0,10,23
12,68332514,2683300,2683350,1251400,1251450,6,3,3,3,3,3,21,4,6,9,3,4,3,29,50
13,68332540,2683300,2683350,1254000,1254050,0,3,0,0,0,0,3,0,3,0,0,0,0,3,6
14,68342499,2683400,2683450,1249900,1249950,3,0,0,0,0,0,3,3,0,3,3,0,0,9,12
15,68342495,2683400,2683450,1249500,1249550,5,3,0,3,3,0,14,3,3,3,3,0,0,12,26
16,68342526,2683400,2683450,1252600,1252650,3,0,3,3,0,0,9,3,0,4,3,3,0,13,22
17,68342481,2683400,2683450,1248100,1248150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,68342477,2683400,2683450,1247700,1247750,3,3,3,3,0,0,12,3,3,0,0,0,0,6,18
19,68352516,2683500,2683550,1251600,1251650,0,0,3,0,0,0,3,3,3,3,0,3,0,12,15
20,68352499,2683500,2683550,1249900,1249950,3,3,3,3,0,0,12,5,3,3,3,3,3,20,32
21,68352529,2683500,2683550,1252900,1252950,3,3,3,0,0,0,9,3,0,3,0,0,0,6,15
22,68362471,2683600,2683650,1247100,1247150,4,3,10,0,3,0,20,3,4,4,3,3,3,20,40
23,68362510,2683600,2683650,1251000,1251050,3,3,3,0,0,0,9,3,3,0,3,0,0,9,18
24,68362528,2683600,2683650,1252800,1252850,3,3,0,0,0,0,6,3,3,0,3,0,3,12,18
25,68362508,2683600,2683650,1250800,1250850,0,3,0,0,0,0,3,0,3,0,0,0,0,3,6
26,68362488,2683600,2683650,1248800,1248850,3,4,3,0,3,0,13,3,6,3,0,0,3,15,28
27,68362495,2683600,2683650,1249500,1249550,3,3,0,0,0,0,6,3,3,3,0,3,0,12,18
28,68372481,2683700,2683750,1248100,1248150,3,0,0,0,0,0,3,0,0,0,3,0,0,3,6
29,68372480,2683700,2683750,1248000,1248050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,68372466,2683700,2683750,1246600,1246650,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3
